tt0092890	Dirty Dancing	1987	100	Drama,Music,Romance	nm0001915
tt0092991	Evil Dead II	1987	84	Action,Comedy,Fantasy	nm0000600
tt0093105	Good Morning, Vietnam	1987	121	Biography,Comedy,Drama	nm0001469
tt0093177	Hellraiser	1987	94	Horror,Thriller	nm0000850
tt0093409	Lethal Weapon	1987	109	Action,Crime,Thriller	nm0001149
tt0093748	Planes, Trains and Automobiles	1987	93	Comedy,Drama	nm0000455
tt0093894	The Running Man	1987	101	Action,Sci-Fi,Thriller	nm0001274
tt0094625	Akira	1988	124	Action,Animation,Sci-Fi	nm0960028
tt0095016	Die Hard	1988	132	Action,Thriller	nm0001532
tt0096256	They Live	1988	94	Action,Horror,Sci-Fi	nm0000118
tt0096283	Tonari no Totoro	1988	86	Animation,Family,Fantasy	nm0594503
tt0096320	Twins	1988	107	Comedy,Crime	nm0718645
tt0096438	Who Framed Roger Rabbit	1988	104	Adventure,Animation,Comedy	nm0931530
tt0096754	The Abyss	1989	171	Adventure,Drama,Mystery	nm0000116
tt0096874	Back to the Future Part II	1989	108	Adventure,Comedy,Sci-Fi	nm0000709
tt0097165	Dead Poets Society	1989	128	Comedy,Drama	nm0001837
tt0097428	Ghostbusters II	1989	108	Action,Comedy,Fantasy	nm0718645
tt0097441	Glory	1989	122	Biography,Drama,History	nm0001880
tt0097523	Honey, I Shrunk the Kids	1989	93	Adventure,Comedy,Family	nm0002653
tt0097733	Lethal Weapon 2	1989	114	Action,Crime,Thriller	nm0001149
tt0097757	The Little Mermaid	1989	83	Animation,Family,Fantasy	nm0615780
tt0097814	Majo no takkyûbin	1989	103	Adventure,Animation,Drama	nm0594503
tt0098635	When Harry Met Sally...	1989	95	Comedy,Drama,Romance	nm0001661
tt0098904	Seinfeld	1989	22	Comedy	nm0009953
tt0098936	Twin Peaks	1990	47	Crime,Drama,Mystery	nm0000186
tt0099077	Awakenings	1990	121	Biography,Drama	nm0001508
tt0099088	Back to the Future Part III	1990	118	Adventure,Comedy,Sci-Fi	nm0000709
tt0099487	Edward Scissorhands	1990	105	Drama,Fantasy,Romance	nm0000318
tt0099653	Ghost	1990	127	Drama,Fantasy,Romance	nm0958387
tt0099674	The Godfather: Part III	1990	162	Crime,Drama	nm0000338
tt0099785	Home Alone	1990	103	Comedy,Family	nm0001060
tt0099938	Kindergarten Cop	1990	111	Action,Comedy,Crime	nm0718645
tt0100157	Misery	1990	107	Drama,Thriller	nm0001661
tt0100403	Predator 2	1990	108	Action,Horror,Sci-Fi	nm0394280
tt0100802	Total Recall	1990	113	Action,Sci-Fi,Thriller	nm0000682
tt0101410	Barton Fink	1991	116	Comedy,Drama,Thriller	nm0001053
tt0101414	Beauty and the Beast	1991	84	Animation,Family,Fantasy	nm0873779
tt0101540	Cape Fear	1991	128	Crime,Thriller	nm0000217
tt0102510	The Naked Gun 2½: The Smell of Fear	1991	85	Comedy,Crime	nm0001878
tt0102685	Point Break	1991	122	Action,Crime,Thriller	nm0000941
tt0103064	Terminator 2: Judgment Day	1991	137	Action,Sci-Fi	nm0000116
tt0103074	Thelma & Louise	1991	130	Adventure,Crime,Drama	nm0000631
tt0103639	Aladdin	1992	90	Adventure,Animation,Comedy	nm0166256
tt0103776	Batman Returns	1992	126	Action,Crime,Fantasy	nm0000318
tt0103874	Dracula	1992	128	Horror	nm0000338
tt0104070	Death Becomes Her	1992	104	Comedy,Fantasy,Horror	nm0000709
tt0104431	Home Alone 2: Lost in New York	1992	120	Adventure,Comedy,Crime	nm0001060
tt0104691	The Last of the Mohicans	1992	112	Action,Adventure,Drama	nm0000520
tt0105236	Reservoir Dogs	1992	99	Crime,Drama,Thriller	nm0000233
tt0105323	Scent of a Woman	1992	156	Drama	nm0000976
tt0105793	Wayne's World	1992	94	Comedy,Music	nm0790715
tt0106179	The X Files	1993	45	Crime,Drama,Mystery	nm0004810
tt0106489	A Bronx Tale	1993	121	Crime,Drama,Romance	nm0000134
tt0106677	Dazed and Confused	1993	102	Comedy	nm0000500
tt0106697	Demolition Man	1993	115	Action,Sci-Fi,Thriller	nm0104193
tt0106977	The Fugitive	1993	130	Action,Crime,Drama	nm0001112
tt0107207	In the Name of the Father	1993	133	Biography,Drama	nm0006487
tt0107290	Jurassic Park	1993	127	Action,Adventure,Sci-Fi	nm0000229
tt0107362	Last Action Hero	1993	130	Action,Adventure,Comedy	nm0001532
tt0107614	Mrs. Doubtfire	1993	125	Comedy,Drama,Family	nm0001060
tt0107688	The Nightmare Before Christmas	1993	76	Animation,Family,Fantasy	nm0783139
tt0107818	Philadelphia	1993	125	Drama	nm0001129
tt0107977	Robin Hood: Men in Tights	1993	104	Adventure,Comedy,Musical	nm0000316
tt0108052	Schindler's List	1993	195	Biography,Drama,History	nm0000229
tt0108399	True Romance	1993	119	Crime,Drama,Romance	nm0001716
tt0108550	What's Eating Gilbert Grape	1993	118	Drama	nm0002120
tt0109830	Forrest Gump	1994	142	Drama,Romance	nm0000709
tt0109831	Four Weddings and a Funeral	1994	117	Comedy,Drama,Romance	nm0001565
tt0110322	Legends of the Fall	1994	133	Drama,Romance,War	nm0001880
tt0110413	Léon	1994	110	Action,Crime,Drama	nm0000108
tt0110478	Maverick	1994	127	Action,Adventure,Comedy	nm0001149
tt0110632	Natural Born Killers	1994	118	Action,Crime,Drama	nm0000231
tt0110912	Pulp Fiction	1994	154	Crime,Drama	nm0000233
tt0111257	Speed	1994	116	Action,Adventure,Thriller	nm0000957
tt0111282	Stargate	1994	116	Action,Adventure,Sci-Fi	nm0000386
tt0112384	Apollo 13	1995	140	Adventure,Drama,History	nm0000165
tt0112431	Babe	1995	91	Comedy,Drama,Family	nm0003088
tt0112471	Before Sunrise	1995	101	Drama,Romance	nm0000500
tt0112642	Casper	1995	100	Comedy,Family,Fantasy	nm0797869
tt0112697	Clueless	1995	97	Comedy,Romance	nm0002132
tt0112851	Desperado	1995	104	Action,Crime,Thriller	nm0001675
tt0113855	Mortal Kombat	1995	101	Action,Adventure,Fantasy	nm0027271
tt0114069	Outbreak	1995	127	Action,Drama,Thriller	nm0000583
tt0114148	Pocahontas	1995	81	Adventure,Animation,Drama	nm0300265
tt0114369	Se7en	1995	127	Crime,Drama,Mystery	nm0000399
tt0114388	Sense and Sensibility	1995	136	Drama,Romance	nm0000487
tt0114746	Twelve Monkeys	1995	129	Mystery,Sci-Fi,Thriller	nm0000416
tt0114814	The Usual Suspects	1995	106	Crime,Mystery,Thriller	nm0001741
tt0116483	Happy Gilmore	1996	92	Comedy,Sport	nm0240797
tt0116996	Mars Attacks!	1996	106	Comedy,Sci-Fi	nm0000318
tt0117060	Mission: Impossible	1996	110	Action,Adventure,Thriller	nm0000361
tt0117381	Primal Fear	1996	129	Crime,Drama,Mystery	nm0387706
tt0117438	Ransom	1996	121	Action,Crime,Thriller	nm0000165
tt0117509	Romeo + Juliet	1996	120	Drama,Romance	nm0525303
tt0117665	Sleepers	1996	147	Crime,Drama,Thriller	nm0001469
tt0117705	Space Jam	1996	88	Adventure,Animation,Comedy	nm0701592
tt0117951	Trainspotting	1996	93	Drama	nm0000965
tt0117998	Twister	1996	113	Action,Adventure,Thriller	nm0000957
tt0118617	Anastasia	1997	94	Adventure,Animation,Drama	nm0325776
tt0118715	The Big Lebowski	1998	117	Comedy,Crime,Sport	nm0001054
tt0118749	Boogie Nights	1997	155	Drama	nm0000759
tt0118880	Con Air	1997	115	Action,Crime,Thriller	nm0922346
tt0118971	The Devil's Advocate	1997	144	Drama,Mystery,Thriller	nm0000431
tt0119094	Face/Off	1997	138	Action,Crime,Sci-Fi	nm0000247
tt0119116	The Fifth Element	1997	126	Action,Adventure,Sci-Fi	nm0000108
tt0119174	The Game	1997	129	Action,Drama,Mystery	nm0000399
tt0119303	Home Alone 3	1997	102	Action,Comedy,Crime	nm0331532
tt0119395	The Jackal	1997	124	Action,Crime,Drama	nm0001994
tt0119396	Jackie Brown	1997	154	Crime,Drama,Thriller	nm0000233
tt0119567	The Lost World: Jurassic Park	1997	129	Action,Adventure,Sci-Fi	nm0000229
tt0119643	Meet Joe Black	1998	178	Drama,Fantasy,Romance	nm0000976
tt0119698	Mononoke-hime	1997	134	Adventure,Animation,Fantasy	nm0594503
tt0119738	My Best Friend's Wedding	1997	105	Comedy,Drama,Romance	nm0389591
tt0120347	Tomorrow Never Dies	1997	119	Action,Adventure,Thriller	nm0006854
tt0120623	A Bug's Life	1998	95	Adventure,Animation,Comedy	nm0004056
tt0120647	Deep Impact	1998	120	Action,Drama,Romance	nm0001460
tt0120655	Dogma	1999	130	Adventure,Comedy,Drama	nm0003620
tt0120663	Eyes Wide Shut	1999	159	Drama,Mystery,Thriller	nm0000040
